,vehicle-name,vehicle-id,start-latitude,start-longitude,end-latitude,end-longitude,start-time,end-time,capacity,speed-multiplier,cost-per-km,cost-per-hour,waiting-cost-per-hour,fixed-cost,skills,number-of-vehicles,day,yard
0,T4076,RBV-72-8_1_3,53.48534225,-113.5574225,53.48534225,-113.5574225,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3,RBV
0,X4221,OKY-72-1_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,OKY
0,X4221,OKY-72-1_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,roadway,1,5,OKY
0,X4221,OKY-72-1_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,OKY
0,X4221,OKY-72-1_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,OKY
0,X4222,OKY-72-2_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,OKY
0,X4222,OKY-72-2_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,OKY
0,X4222,OKY-72-2_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,OKY
0,X4222,OKY-72-2_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,OKY
0,X4223,OKY-72-3_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,OKY
0,X4223,OKY-72-3_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,OKY
0,X4223,OKY-72-3_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,OKY
0,X4223,OKY-72-3_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,OKY
0,X4224,OKY-72-4_1_4,53.52408381,-113.5029577,53.52408381,-113.5029577,102,110.75,10000,1,0.001,1,0.5,100,neighbourhood,1,4,OKY
0,X4224,OKY-72-4_1_5,53.52408381,-113.5029577,53.52408381,-113.5029577,126,134.75,10000,1,0.001,1,0.5,100,neighbourhood,1,5,OKY
0,X4224,OKY-72-4_1_6,53.52408381,-113.5029577,53.52408381,-113.5029577,150,158.75,10000,1,0.001,1,0.5,100,neighbourhood,1,6,OKY
0,X4224,OKY-72-4_1_0,53.52408381,-113.5029577,53.52408381,-113.5029577,6,14.75,10000,1,0.001,1,0.5,100,neighbourhood,1,0,OKY
0,Y4664,ASY-72-1_1_3,53.42626956,-113.5713273,53.42626956,-113.5713273,78,86.75,10000,1,0.001,1,0.5,100,roadway,1,3,ASY
