,Id,Level,cluster,day,end-time,start-time,job-id,latitude,longitude,name,priority,quantity,raw-id,required-skills,Service-duration-1,type,service-duration,
1632,1154_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.451720259,-113.492244342,Calgary Trail South,10,1,1154_1,roadway,0.5533333333,D,0.4368421053,
613,1157_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.46931683,-113.5541072,Westbrook Estate,10,1,1157_0,neighbourhood,1.2,D,0.9473684211,
1633,1157_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.46931683,-113.5541072,Westbrook Estate,10,1,1157_1,neighbourhood,1.2,D,0.9473684211,
76,1167.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.48079517,-113.4552256,TWEDDLE PLACE,10,1,1167.0_0,neighbourhood,2.2433333333,D,1.7710526316,
1096,1167.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.48079517,-113.4552256,TWEDDLE PLACE,10,1,1167.0_1,neighbourhood,2.2433333333,D,1.7710526316,
77,1170.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.4430186,-113.4269189,SAKAW,10,1,1170.0_0,neighbourhood,0.1766666667,D,0.1394736842,
1097,1170.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.4430186,-113.4269189,SAKAW,10,1,1170.0_1,neighbourhood,0.1766666667,D,0.1394736842,
78,1174.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.50075934,-113.4611437,ARGYLL,10,1,1174.0_0,neighbourhood,0.55,D,0.4342105263,
1098,1174.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.50075934,-113.4611437,ARGYLL,10,1,1174.0_1,neighbourhood,0.55,D,0.4342105263,
79,1175.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.50386697,-113.4623646,ARGYLL,10,1,1175.0_0,neighbourhood,0.5066666667,D,0.4,
1099,1175.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.50386697,-113.4623646,ARGYLL,10,1,1175.0_1,neighbourhood,0.5066666667,D,0.4,
80,1176.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.51111583,-113.4607853,AVONMORE,10,1,1176.0_0,neighbourhood,0.5766666667,D,0.4552631579,
1100,1176.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.51111583,-113.4607853,AVONMORE,10,1,1176.0_1,neighbourhood,0.5766666667,D,0.4552631579,
81,1177.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.45756451,-113.4189917,WEINLOS,10,1,1177.0_0,neighbourhood,1.4466666667,D,1.1421052632,
1101,1177.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.45756451,-113.4189917,WEINLOS,10,1,1177.0_1,neighbourhood,1.4466666667,D,1.1421052632,
614,1183_0_B1,B1,,0,9d 14:45:00,0d 06:00:00,,53.462898,-113.5440734,Westbrook Estate,1,1,1183_0,neighbourhood,0.6333333333,D,0.5,
1634,1183_1_B1,B1,,17,20d 14:45:00,10d 06:00:00,,53.462898,-113.5440734,Westbrook Estate,1,1,1183_1,neighbourhood,0.6333333333,D,0.5,
82,1184.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.46414889,-113.4552433,TIPASKAN,10,1,1184.0_0,neighbourhood,0.24,D,0.1894736842,
1102,1184.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.46414889,-113.4552433,TIPASKAN,10,1,1184.0_1,neighbourhood,0.24,D,0.1894736842,
615,1186_0_B1,B1,,,9d 14:45:00,0d 06:00:00,,53.52396898,-113.5027247,RiverValley Walterdale,10,1,1186_0,neighbourhood,0.75,D,0.5921052632,
1635,1186_1_B1,B1,,,20d 14:45:00,10d 06:00:00,,53.52396898,-113.5027247,RiverValley Walterdale,10,1,1186_1,neighbourhood,0.75,D,0.5921052632,
83,1187.0_0_B1,B1,,,3d 14:45:00,3d 06:00:00,,53.5022504,-113.4615795,ARGYLL,10,1,1187.0_0,neighbourhood,1.6833333333,D,1.3289473684,
1103,1187.0_1_B1,B1,,,13d 14:45:00,13d 06:00:00,,53.5022504,-113.4615795,ARGYLL,10,1,1187.0_1,neighbourhood,1.6833333333,D,1.3289473684,
616,1189_0_B1,B1,,,11d 14:45:00,10d 06:00:00,,53.45758454,-113.5156765,Ermineskin,10,1,1189_0,neighbourhood,0.43,D,0.3394736842,
1636,1189_1_B1,B1,,,20d 14:45:00,20d 06:00:00,,53.45758454,-113.5156765,Ermineskin,10,1,1189_1,neighbourhood,0.43,D,0.3394736842,
2070,1193_0_A2,A2,,3,6d 14:45:00,5d 06:00:00,,53.49922599,-113.4525547,DAVIES INDUSTRIAL WEST,1,1,1193_0,neighbourhood,3.0333333333,D,2.3947368421,
2187,1193_1_A2,A2,,10,13d 14:45:00,12d 06:00:00,,53.49922599,-113.4525547,DAVIES INDUSTRIAL WEST,1,1,1193_1,neighbourhood,3.0333333333,D,2.3947368421,
2304,1193_2_A2,A2,,18,20d 14:45:00,19d 06:00:00,,53.49922599,-113.4525547,DAVIES INDUSTRIAL WEST,1,1,1193_2,neighbourhood,3.0333333333,D,2.3947368421,
2044,1193.0_0_A2,A2,,6,6d 14:45:00,5d 06:00:00,,53.49922599,-113.4525547,DAVIES INDUSTRIAL WEST,1,1,1193.0_0,neighbourhood,5.7133333333,D,4.5105263158,
